title,content,category,sports,thumbnail,is_featured,news_views
Nunez shushes trolls after missed chances & delivers message to doubters after £64m Liverpool transf,Darwin Nunez is only a matter of minutes into his Liverpool career but the Uruguay striker is alrea,exclusive,football,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQf7tM2wdMiLUoFo_MmcvE3Jtx7Rv3EZ5WwCtlnJ8W9KvZjZiOavrRmtdkbIq1sqKF7ivw60Tj5FDPkfNGKv5WrykXSSq3Nu7jOJYZQCak,True,544
Nuggets-Warriors: 4 takeaways from stunning Stephen Curry-Aaron Gordon duel,The Warriors and Nuggets came into this season with a shared goal — try to return to the NBA Finals and prevent an Oklahoma City takeover of the West.,exclusive,basketball,https://cdn.nba.com/manage/2022/10/USATSI_19273164.jpg,True,587
David Adelman unplugged: On Nikola Jokić and more,The L’Auberge Del Mar hotel which overlooks the limitless beauty of the Pacific Ocean in this village north of San Diego is the kind of peaceful place where people go to unwind.,analysis,basketball,https://cdn.nba.com/manage/2025/10/GettyImages-22403544554.jpg,False,12
The foundation Jordan Ott has been building paid off in Suns' opening win, In the four-plus months since his hire Jordan Ott has been asked several times what this has all meant a grinder from small-town Pennsylvania climbing his way up the NBA ladder. Throughout the Phoenix Suns head coach has kept these emotions mostly to himself.,analysis,basketball,https://cdn.nba.com/manage/2025/10/GettyImages-22403544552.jpg,False,20
Most games coached: San Antonio Spurs,The Spurs have been one of the league’s most consistent and successful franchises since joining the NBA in the 1976-77 season. Hoops fans are keenly aware of Gregg Popovich’s legendary tenure as the team’s coach but this article also spotlights some of the other great coaches in franchise history.,exclusive,basketball,https://cdn.nba.com/manage/2025/10/GettyImages-22085398622.jpg,True,557
Emirates NBA Cup 2025: East Group C Preview,Led by the defending Emirates NBA Cup champion Milwaukee Bucks East Group C features a mix of teams that found success in both the in-season competition and the NBA postseason.,match,basketball,https://cdn.nba.com/manage/2025/10/16x9-15-1568x882.png,True,594
NBA’s Opening Night and Return to NBC Dominates Coverage on Social Media,The NBA’s action-packed opening-night doubleheader across NBC and Peacock drove massive engagement on social media last night dominating the conversation on X,match,basketball,https://cdn.nba.com/manage/2025/10/GettyImages-2242129260.jpg?w=384&h=224,False,12
LeBron James is helping the Lakers in film study while he’s sidelined with sciatica,Although LeBron James wasn’t able to play in the Los Angeles Lakers’ season opener he’s making sure they learn from their loss to Golden State.,rumor,basketball,https://cdn.nba.com/manage/2025/10/lebron-iso-102225.jpg,True,890
League Pass Game of the Day: Orlando Magic vs. Miami Heat (7 ET),The Orlando Magic play host to the Miami Heat in a Southeast Division showdown to begin each team’s 2025-26 NBA season. From players making debuts for their new squads to injury updates here are five things to know ahead of tip-off (7 p.m. ET NBA League Pass).,match,basketball,https://cdn.nba.com/manage/2025/10/GettyImages-11752493892.jpg,False,30
Thunder receive championship rings raise banner to the rafters on opening night,Oklahoma City beat the Indiana Pacers in the Finals last season to win their first title since the franchise moved from Seattle in 2008. The Thunder won it all after a 68-14 regular season that earned them homecourt advantage throughout the playoffs.,match,basketball,https://cdn.nba.com/manage/2025/10/Thunder-ring-ceremony-full-video.jpg,True,303
Warriors outpace Lakers with third-quarter flurry,Welcome to the 2025-26 NBA season! Here we’ll detail the second half of our opening night doubleheader on NBC and Peacock featuring Rockets-Thunder and Warriors-Lakers.,analysis,basketball,https://cdn.nba.com/manage/2025/10/GettyImages-2242147336.jpg,False,12
Thunder win a 'classic' double overtime thriller,Welcome to the 2025-26 NBA season! The Thunder defeated the Rockets in a double overtime thriller to tip off the NBA’s return to NBC and Peacock led by reigning Kia MVP Shai Gilgeous-Alexander.,rumor,basketball,https://cdn.nba.com/manage/2025/10/GettyImages-2242135718.jpg,True,443
Jasmine Paolini selected as a torchbearer for 2026 Winter Olympics,Jasmine Paolini is flying Il tricolore proudly on the WTA tour. But ahead of the 2026 Olympics in her home country the Italian will be carrying something even more special to display her national pride: the Olympic flame.,update,tennis,https://images.tennis.com/image/private/t_16-9_1920_2x/f_auto/tenniscom-prd/wmqppiczfnl0qhhotqng.jpg,True,400
Alexander Zverev becomes fourth player to qualify for ATP Finals joining Alcaraz Sinner Djokovic, Alexander Zverev has become the fourth player to qualify for this year’s ATP Finals in Turin joining Carlos Alcaraz Jannik Sinner and Novak Djokovic in the elite eight-man field with four spots still up for grabs.,analysis,tennis,https://images.tennis.com/image/private/t_16-9_1920_2x/f_auto/tenniscom-prd/vpmwlxgqgay1q3dhvxc3.jpg,False,30

